Page,Nama Reviewer,Rating,Tanggal Review,Isi Review,Efektivitas,Profil Kecantikan,Tips Pengguna,Ukuran,Kemasan,Kandungan,Manfaat,Cocok untuk,Cocok Untuk,Tekstur,Performa,Barang pastinya ori karena beli di official store dan suka banget sama Skin1004. Walau ukurannya travel size tapi packaging nya tetap ada kotaknya dong,Pengalaman Penggunaan,Wangi
2,shintamega93,5,2022-08-16 18:10,"Udah lama pengen nyobain ampoule foam-nya skin1004. Teksturnya enak banget, lembut dan yg penting ga bikin muka kerasa ketarik habis cuci muka. Beli mini size, cocok buat dibawa kemana-mana. Fix, bakal repurchase ini mah.",-,-,-,-,-,-,-,-,all skin type,lembut,nyaman dikulit,-,-,-
2,s*****a,5,2024-03-17 20:38,"Baru pertama kali nyobain skin1004, semoga cocok. Teksturnya lembut, gentle, jadi cocok utk yg berjerawat. Packing rapi, tidak ada kurang sedikitpun.",-,cleansing foam,-,-,aman,-,untuk membersihkan wajah,-,-,-,-,-,-,-
3,suciiprshop28,5,2024-11-18 12:13,"Sampai dgn selmat dan cepat, packaging yg oke, tekstur yg lembut dgn tampilan yg bagus dan mewah",-,-,-,ukuran kecil murah dan mudah di bawa kemana aja,-,-,-,wajah,-,lembut,-,-,-,-
3,w*****y,5,2024-12-18 08:01,"Beli yang basic 5 dapet bonus ini 😁, pengiriman cepet respon penjual cepet packingnya juga rapih",-,-,-,berukuran kecil mudah dibawa,-,-,-,efektif untuk kulit kering,-,lembut dan nyaman,-,-,-,-
3,c*****a,5,2024-11-20 16:27,"Foam ini cocok untuk kulit sensitif ataupun normal, saya berkulit sensitif, sangat membantu melembabkan dan menyegarkan, tetapi tidak membuat berminyak yang berlebih, karena ukuran 30ml sehingga sangat mudah untuk digunakan dimana saja dan masuk pouch kecil pun cukup. Bisa membersihkan secara menyeluruh pada pori2 kecil pun",-,-,-,30ml sangat mudah dibawa kemana mana,-,-,-,sensitif ataupun normal,-,lembut dan menyegarkan,-,-,-,-
3,ramonayup,5,2023-08-07 16:28,"bismillah perdana order utk coba toner yg lg hype, yg kata temen akan membuat hasil wajah yg sempurna dan unbelievable .. trs diskon pula 🥹 150k dpt toner 210ml & foam 20ml 😭 barang sampai dgn aman dan selamat sampai tujuan. pengiriman dan packingan dari seller jg cepet banget. thankyou",-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,p*****f,5,2022-07-31 07:12,"Enak bgt rasanya pas dipake, ukurannya pas buat traveling, niatnya coba dulu yg travel size kalo cocok baru beli yg ukuran gedenya",-,-,-,-,-,-,-,-,a skin type,creamy foam,oke,-,-,-
3,fitrihanda09,5,2023-04-12 23:06,"Pertama kali cobain Ampoule Foam dari SKIN1004 bener2 bagus banget. Ampoule foam yang bisa melembabkan dan menenangkan kulit. Teksturnya lembut warna coklat. Ada wanginya tapi tidak mengganggu karena soft. Busanya lumayan banyak jadi bisa lebih irit pake nya hehe. Sesuai klaim produknya,  Kulit aku jadi lebih bersih sampe ke dalam, wajah jadi cerah, tetap lembab dan tidak bikin kulit ketarik sehabis cuci muka. Efek soothing dari ampoule nya dapet banget sih. Aku baru pake 3harian dan sudah keliatan hasilnya. Di aku jerawat yang merah2 jadi mulai kering tapi wajah tetep lembab. Pokoknya ini Foam ter-gentle yang pernah aku coba. Next bakal beli lagi tapi yang gede ♥️😍",-,-,Basahi tangan ambil produk secukupnya,-,Travel kit,-,Membersihkan kotoran di wajah,-,-,-,-,-,-,-
4,g*****i,5,2023-10-26 08:00,"Sabun unt cleansing foam, exp aman masih lama 2026. Baru pertama kali coba, semoga cocok. Pengemasan cepat dan aman, pengiriman cepat. Pas bgt banyak diskon, 3 itrm cuma 133k.",-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,i*****1,5,2024-11-04 16:52,"Pengemasan aman, paket cepat sampai, semoga produk cocok di wajahku seperti produk skin angel yg lain, thks seller 👍🏻",-,-,-,travel size,-,-,-,semua jenis kulit,-,creamy,-,-,-,-
4,nrzlptr19,4,2024-01-06 14:17,"Paket y sudah sampai, kurir y juga ramah harga juga worth it buat isi segitu dan dapat diskon juga wak tu kmrn beli, moga aja cocok make y",-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,f*****a,5,2024-04-16 06:24,"Membuat kulit tidak terasa ketarik saat setelah cuci muka, teksturnya lembut, pakai sedikit saja sudah bisa membersihkan seluruh wajah",-,jenis kulit kombinasi,-,-,-,-,-,-,-,-,-,-,bagus produknya,-
4,l*****i,5,2024-04-24 15:48,"First time use, teksturnya cream to foamy dan super lembut pas apply cuci mukanya. After washed and wiped, hasilnya muka bersih, lembab dan cerah 💕",-,-,-,travel size,-,-,-,wajah,-,cream foam,-,-,-,-
4,n*****n,5,2023-01-20 21:25,"Pengiriman oke, packagingnya juga savety. Semoga cocok untuk kulitku yg selama ini belum menemukan skincare yg tepat 😅😅",-,-,-,-,-,-,-,-,Kulit wajah,Belum dibuka,"Semoga oke, belum dicoba",-,-,-
5,f*****2,5,2024-12-19 18:30,"thank u skin1004 ampoule foam nya sudah sampai, aku masi mau coba yg small size dulu kalo cocok bakal beli yg big size",-,-,-,berukuran kecil dan mudah di bawa,-,-,-,kulit putih akan terlihat lebih cerah,-,memuaskan dan sesuai harapan,-,-,-,-
5,m*****r,5,2024-12-01 12:52,"FW nya enak banget dan cocok di kulit ku yang super sensitiff, pake nya sedikit aja karena busanya udah banyak",-,-,-,Pas,-,-,-,Kulit sensitif,-,Lembut,-,-,-,-
5,a*****a,5,2024-12-26 13:20,"Baru sampai , pengiriman lumayan cepet Suka aja order yg kecil karena lucu imut 😁 Gampang dibawa traveling Next order lagi yg banyakk😁😁",-,-,-,kecil,-,-,-,kulit sensitif,-,lembut,-,-,-,-
5,dinda_ayu_lestari.24,5,2025-03-10 15:49,"Sudah pemakaian ketiga ini. Banyak busanya tapi ngga bikin kering, bisa mengatasi jerawat juga, dan tidak perih di mata serta tdak mengandung parfum.",-,-,-,kecil sehingga travel friendly,-,-,-,kukit berjerawat dan beruntusan,-,lembu dan tidak lengket,-,-,-,-
5,princess.clo,5,2023-04-14 12:02,"Pengiriman lmyn cepat. Produknya blm dicoba sih. Btw ini first try produk skin 1004 wkwk. Makanya beli yg kemasan kecil dulu. Produknya imut2, mini. Semoga cocok yah. Aku percaya kok produknya pasti bagus ❤💚💛",-,-,-,-,bagus,-,calming,-,-,-,-,-,blm,-
5,melilistiani,5,2025-04-08 19:09,"Maaf gak kepoto yg kecil karna udh habis, bagus bgt cocok dimuka aku yg berminyak, komedo jd berkurang bgt, rekomen",-,-,-,mudah dibawa,-,-,-,wajah,-,lembut,-,-,-,-
6,ellynurliyah,5,2023-12-11 10:11,"Suka banget sama semua produk nya skin 1004 ga ada wangi, enak di pakai untuk kulit ku sengaja beli versi mungil2 untuk traveling aku jd ga usah lg pindah2 in ke botol2 kecil. Thank you kirimannya",-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,a*****0,5,2024-12-16 07:29,"Udah ditandain dr lama mau nyoba, akhirnya CO pas tanggal kembar. Semoga cocok di kulit aku yg sensitif. Pengiriman cepet, packing sangat aman. Thanks!",-,-,-,traveling-able,-,-,-,kulit sensitif,-,krim,-,-,-,-
6,vpcgk5h_mv,5,2024-12-20 18:11,"Baru coba, so far bikin kulit terhidrasi dan lembut, bersihin kotoran baik dan tdk iritasi, semoga bisa makin baik di kulit",-,-,-,travell,-,-,-,sensitive,-,cream,-,-,-,-
6,rindukirania,5,2024-12-16 14:10,Mudah mudahan cocok untuk dipakai melembabkan kulit saya,-,-,-,berukuran kecil dan mudah untuk dibawa,-,-,-,kulit putih akan terlihat lebih cerah,-,lembut dan mudah diaplikasikan pada kulit,-,-,-,-
6,dhikakiku_,5,2024-02-15 13:29,"Jujurly pertama menggunakan ini. Mau beli produk inii tarik ulur terus, pas promo langsung co dan ternyata cocok karena memang aku terbiasa menggunakan physical sunscreen. Hasilnya bagus, ada white cast dikit tp lama2 nyerap warnanya. Dulu pakai produk korea juga namun sudah discontinued dan sekarang beralin kesini dan ternyata sebagus itu. Thanks 😊",-,-,Digunakan sebelum beraktivitas. cukup sehari ini sekali jika penggunaan makeup lain yg mengandung spf dan pa juga karena cukup awet,-,-,-,hasil akhir matte and muka keliatan seger,-,-,-,-,-,-,ga seharum sunscreen tetangga
6,l*****e,5,2024-11-14 18:24,"Pas banget 11.11 jadi harganya cuma setengah dari harga asli, lumayan banget, semoga cocok dipakai karena lagi nyari facial wash juga",-,-,-,Travel size,-,-,-,Semua,-,Cair,-,-,-,-
7,giaamu1,5,2024-07-31 19:42,Makasih ya kak sudah datang dan sesuai pesanan.. suka bgt deh eh dpt free lagi,-,-,-,kecil dan mudah dibawa,-,-,-,kulit sensitif,-,krim lembut dan mudah di aplikasikan,-,-,-,-
7,rahmahera28,5,2022-11-12 21:24,"Pake ampoule foam ini selalu rutin aku gunakan dengan air hangat biar keliatan efektifitasnya sesuai petunjuk yang tertera dicara penggunaan. Dan hasilnya bagus banget. Wajah terasa bersih, seger, tanpa ada rasa ketarik dan bikin cerah. Pori-pori yang awalnya keliatan banget, makin kesini makin ketutup setelah aku pake ampoule foam ini.",-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,a*****z,5,2024-08-04 07:47,Belum nyoba. Tapi banyak review yang bilang bagus. Btw packaging aman dan ada kerdusnya. Sampai sesuai pesanan oke good.,-,-,-,kecil,-,-,-,all type skin,-,krim,-,-,-,-
7,a*****y,5,2024-08-04 18:38,kecil dan cocok untuk dibawa travel maupun mau di coba🙌🏻🙌🏻🙌🏻 pengirimannya juga cepet bgt dan selalu suka sama produk skin 1004,-,-,-,-,-,-,-,-,-,seperti sabun cuci muka,-,-,-,-
7,imelda805,5,2024-12-22 11:21,pertama kali cobain ini dan ternyata bagus bgt nangis 😭💖😭💖😭💖😭💖 aduh jadi cocok deh ini wkwk dapet harga flash sale jadi 101 doang thank you banget kak hahaha,-,-,-,mudah dibawa kemana pun,-,-,-,kulit kombinasi,-,cair tapi gak terlalu cair,-,-,-,-
7,r*****l,5,2024-10-23 10:15,"Udh langganan beli disini , order yang kecil karena buat traveling , jadi lebih nyaman bawa yang mini gini , pemakaian udah mau 2 tahun cocok pakek produk ini. Terima Kasih",-,-,-,berukuran kecil mudah di bawa,-,-,-,kulit sensitiv,-,kental dan tidak cair,-,-,-,-
8,d*****_,5,2024-12-18 16:46,baru pertama kali mau cobain produk skin angel semoga aja cocok ☺️❤️ exp date masih lama 2027 ✨,-,-,-,travel size mudah dibawa kemana mana,-,-,-,kulit berjerawat,-,"kental, mudah di aplikasikan",-,-,-,-
8,c*****a,5,2023-08-15 13:05,"Ampoulenya mini enak bgt ini pake setitik aja udh cukup di muka ga ada rasa yg bkin cekit2, perih dll, bener2 kalem lembut ga aneh2 dan enak dipakenya, rasanya muka bersih dan jerawat membaik, makasih banyak skin1004 🥰",-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,miraa035,4,2023-08-12 18:27,"Sementara itu, untuk kemasan kedua yang dipakai pada varian Madagascar Centella Air-Fit Suncream Plus juga hadir dalam ukuran 50 ml. Uniknya, sunscreen ini justru terlihat lebih compact dan bisa  dibawa kemana-mana, bahkan dimasukkan ke dalam pouch kecil sekalipun. Dengan begitu, proses reapply sunscreen pun jadi lebih mudah.  Yup, hal itu berkat kemasan berbentuk flat bottle dengan tutup screw cap yang cenderung lebih simple. Bagian lubang tempat keluarnya sunscreen pun terbilang ideal. Sunscreen tetap mudah keluar, namun satu sisi juga masih bisa terjamin kehigienisannya.",-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,n*****i,5,2024-03-19 04:12,"Wah dpt bonus ss stick super matte.. Ampoule foam nya enak bgt. Endingnya seger, gak ada ketarik"" kulitnya. Tinggal nunggu tonernya ready nih. udah nipis bgt..",-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,spillbydhan,5,2024-10-23 09:40,"Barang sudah diterima dengan baik terima kasih seller dan kurir 🙏 Namun belum aku gunakan, karena masih ada facial foam sebelumnya.. semoga cocok ya..",-,-,-,travel/small,-,-,-,kulit sensitif,-,cair,-,-,-,-
8,sri_wahyunita,4,2024-08-05 22:12,"Barang nya sudah sampai dgn baik dan sesuai pesanan, belum bisa memberikan review soalnya baru pertama kali mau nyobain semoga aja cocok untuk kulit wajah ku",-,-,-,kecil cocok untuk traveling,-,-,-,kulit wajah,-,-,-,-,-,-
9,s*****7,5,2023-10-31 09:57,"Baru nyoba karena produknya sepertinya memang bagus, baru bbrp hari pake dan kayaknya cocok dimuka aku, abis cuci muka jadi seger, bentuknya kecil tapi isinya full jadi kyknya bakal awet",-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,v*****a,5,2024-11-13 13:55,"sebenernya co ini karena salah beli, mo co moiz malah beli face wash but is ok selalu sukak sm skin 1004 sering disk dan produknya bagus di aku luv💗",-,-,-,kecil mungil,-,-,-,kulit sensitif kali ya,-,kaya facial foam gt,-,-,-,-
9,j*****a,5,2024-11-29 08:22,"Setelah pake facial foam ini, wajah jadi lebih halus dan ga bikin kering dan juga kondisi wajah tetap lembab",-,-,-,mudah untuk dibawa,-,-,-,semua jenis kulit,-,-,-,-,-,-
9,h*****a,4,2025-02-28 18:04,"Kualitas produk baik, produk original, kemasan produk aman, kecepatan pemgiriman produk baik, tanggal kadaluarsanya masih panjang, respon penjual cepat.",-,-,-,kecil dan mudah dibawa,-,-,-,efektif untuk kulit kering,-,cair dan lembut,-,-,-,-
9,nurjeny06,5,2025-03-07 09:05,Ini pertama kli saya menggunakan produk ini semoga cocok di wajah aq yg sensitif utk packagingnya bagus dan respon penjual jg cepat  Utk kurir mantap ramah baik,-,-,-,kecil imut bs di bawa kemana-mana,-,-,-,kulit wajah yang bermasalah,-,ringan di muka,-,-,-,-
9,bungamus2209,5,2024-10-03 08:27,"Pengiriman produk sangat aman dalam packing,,,, produk diterima dengan baik,,,, expired nya juga masih lama,, untuk kualitas jangan diragukan lagi, selalu cocok dengan produk skin1004 ini",-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,o*****o,5,2023-12-18 23:05,Paket telah di Terima dlm keadaan baik packing rapih dan aman pengiriman cepat baru awal coba pakai centella klo bagus order lagi terimakasih seller dan Shopee.,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,aprilshop13_tegal,5,2022-08-19 12:12,"Pembelian kedua, yang pertama belom abis.. Kayanya bisa buat 2 bulan sih.. Walaupun kecil tapi awet banget padahal rutin cuci muka 2x sehari.. Mantap sih ini.. Dapet harga murceee banget dong.. Suka sekali sama produk skin1004.. Apalagi habis cuci muka ngga bikin kulit kering atau ketarik gitu.. 😍🥰",-,-,-,-,-,-,-,-,kulit sensitif,lembut,10/10,-,-,-
10,a*****h,5,2024-10-29 13:46,"Produk original, seller trusted, pengiriman aman dan cepet banget cuman sehari langsung nyampe, Alhamdulillah di wajah aku yang tipe oily skin dan agak sensitif masih baik² aja, bagus sih produknya cukup rekomended buat beli disini",-,-,-,kecil dan bagus untuk pemula yang baru mau coba produk pertama kali cocok atau ngga di wajah,-,-,-,oily skin friendly,-,baik,-,-,-,-
10,tanti.elok27,5,2024-11-07 13:09,"Pesanan sdh sampai dlm keadaan baik, produk sesuai pesanan, kualitas produk baik, sdh cocok sama skin 1004, yg pasti original krn beli di official, harga produk terjangkau krn sering flash sale, kecepatan pengiriman juga baik. Trmksh",-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,aprilshop13_tegal,5,2022-08-23 16:09,"Pembelian ketiga.. Suka banget produknya awet poll.. 1,5 bulan pake tube pertama belom abis.. Kayanya 2 bulan baru abis deh.. Super awet dapet harga super murceee.. Banyak diskon Mantap pokoknya..",-,-,-,-,-,-,-,-,kulit sensitif,lembut,10/10,-,-,-
10,d*****1,5,2024-10-14 15:29,"Produk sesuai pesanan, harga terjangkau pas lagi flash sale dan 10.10 jadi lebih untung, repurchase ke sekian kali, kualitas produk baik",-,-,-,travel size,-,-,-,pembersih wajah,-,foam,-,-,-,-
11,nurleni27,5,2024-09-29 18:37,"Paket sudah sampai baru mau nyoba pakai skin1004, semoga cocok di muka aku yg super sensitif ini yang mudah jerawatan. Kemasan nya kecil lucu banget gemoy, gampang di bawa ke mana2 tidak makan tempat.☺ Pengirimannya juga cepat banget , di luar prediksi BMKG, dalam waktu 3 hari sudah sampai rumah, luar biasa cepat banget. Dan Seller atau admin nya juga responsif banget, selalu di beri jawaban dan penjelasan ketika saya bertanya, good job👍🏻👍🏻 Terima kasih yaa ☺",-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,_kalam,5,2024-12-01 11:30,Dpt recommend temen utk nyoba ini biar bekas jerawat kabur dan kulit menjadi halus.  Semoga cocok nextime beli lg.,-,-,-,travel pack bisa dibawa kemana.,-,-,-,kulit ku oily banget,-,lembut,-,-,-,-
11,i*****f,5,2023-06-10 07:59,"Packing aman, barang sesuai pesanan, seneng dpt harga diskon, 3th yang lalu pernah pakai ini sekarang balik coba lagi karena wajah sedang breakout, mini size gini mudah dibawa traveling, tenang beli di official nya langsung..",-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,m*****4,5,2023-08-10 15:04,Kualitas produkbagus.. Super recommended Packingan juga aman dan cpt sampai 👍👍,-,-,keluarkan sedikit lalu basahi dengan air lalu gosok hingga berbusa setelah itu baru di aplikasikan ke muka,-,-,-,bagus,-,-,-,-,-,baru pertama kali,-
11,bungaayu243,5,2023-10-14 17:30,"Bagusss, pengiriman cepet, packing juga amaann. Udah sering beli disini 🙏 Kurirnya jg baik, ramah, bgitu sampe langsung bilang sudah dibayar ya Bu ongkirnya 😍 jarang bgt ada yg begini ❤️",-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,e*****_,5,2022-07-02 19:08,"Udah pernah pakai tube besar sebelumnya, enakeun dan irit dipakainya, habis bilas terasa lembabnya sii. Mantaplah xixi",-,-,-,-,-,-,-,-,kulitku oily cocok aja,kental lembut,pakai dikit aja sudah cukup,-,-,-
